id,drug_name,generic_name,drug_strength,dosage_type,clinic
8878,Cetirizine,Amoxicillin,5ml,Syrup,1302
8879,Metformin,Ibuprofen,500mg,Tablet,13751
8880,Paracetamol,Amoxicillin,250mg,Injection,1754
8881,Aspirin,Ibuprofen,250mg,Tablet,3357
8882,Metformin,Amoxicillin,5ml,Syrup,15900
8883,Metformin,Paracetamol,500mg,Injection,17006
8884,Aspirin,Amoxicillin,500mg,Injection,178
8885,Metformin,Paracetamol,5ml,Syrup,16272
8886,Metformin,Amoxicillin,500mg,Tablet,11954
8887,Paracetamol,Ibuprofen,250mg,Syrup,15495
8888,Amoxicillin,Metformin,500mg,Injection,13758
8889,Ibuprofen,Cetirizine,250mg,Tablet,18364
8890,Aspirin,Ibuprofen,650mg,Injection,6112
8891,Cetirizine,Amoxicillin,250mg,Syrup,13763
8892,Ibuprofen,Amoxicillin,650mg,Tablet,2769
8893,Cetirizine,Cetirizine,500mg,Syrup,10435
8894,Metformin,Paracetamol,250mg,Injection,12917
8895,Cetirizine,Metformin,250mg,Tablet,9383
8896,Aspirin,Aspirin,250mg,Syrup,16785
8897,Amoxicillin,Aspirin,650mg,Syrup,4494
8898,Ibuprofen,Cetirizine,650mg,Capsule,14572
8899,Ibuprofen,Ibuprofen,650mg,Injection,17365
8900,Paracetamol,Aspirin,5ml,Capsule,10422
8901,Paracetamol,Metformin,500mg,Capsule,3178
8902,Cetirizine,Paracetamol,650mg,Capsule,14071
8903,Paracetamol,Cetirizine,500mg,Syrup,12774
8904,Amoxicillin,Aspirin,500mg,Capsule,291
8905,Cetirizine,Paracetamol,5ml,Capsule,16404
8906,Aspirin,Paracetamol,500mg,Injection,11162
8907,Metformin,Metformin,250mg,Capsule,14815
8908,Paracetamol,Metformin,250mg,Tablet,13413
8909,Aspirin,Cetirizine,500mg,Injection,9645
8910,Ibuprofen,Aspirin,250mg,Injection,14794
8911,Paracetamol,Metformin,250mg,Syrup,4397
8912,Aspirin,Cetirizine,650mg,Capsule,13051
8913,Aspirin,Ibuprofen,650mg,Syrup,5251
8914,Cetirizine,Aspirin,500mg,Injection,18419
8915,Paracetamol,Metformin,5ml,Injection,18800
8916,Paracetamol,Aspirin,500mg,Tablet,12743
8917,Cetirizine,Paracetamol,5ml,Injection,13049
8918,Ibuprofen,Aspirin,5ml,Tablet,14796
8919,Ibuprofen,Metformin,250mg,Injection,15971
8920,Aspirin,Amoxicillin,500mg,Syrup,946
8921,Cetirizine,Amoxicillin,5ml,Syrup,2839
8922,Aspirin,Aspirin,250mg,Capsule,19999
8923,Cetirizine,Ibuprofen,500mg,Capsule,19185
8924,Ibuprofen,Aspirin,5ml,Syrup,852
8925,Ibuprofen,Aspirin,500mg,Syrup,16065
8926,Aspirin,Cetirizine,250mg,Tablet,15702
8927,Amoxicillin,Cetirizine,250mg,Capsule,17644
8928,Metformin,Cetirizine,650mg,Syrup,17006
8929,Paracetamol,Aspirin,500mg,Capsule,16608
8930,Ibuprofen,Paracetamol,250mg,Syrup,1417
8931,Metformin,Aspirin,500mg,Injection,66
8932,Amoxicillin,Ibuprofen,5ml,Tablet,13921
8933,Cetirizine,Aspirin,650mg,Tablet,10791
8934,Metformin,Paracetamol,500mg,Syrup,17135
8935,Ibuprofen,Ibuprofen,500mg,Capsule,7167
8936,Aspirin,Paracetamol,500mg,Syrup,19513
8937,Amoxicillin,Amoxicillin,250mg,Tablet,12481
8938,Amoxicillin,Ibuprofen,5ml,Capsule,15209
8939,Aspirin,Amoxicillin,5ml,Tablet,9615
8940,Cetirizine,Ibuprofen,250mg,Tablet,3107
8941,Amoxicillin,Ibuprofen,500mg,Injection,15153
8942,Amoxicillin,Paracetamol,650mg,Tablet,14935
8943,Cetirizine,Ibuprofen,650mg,Tablet,8380
8944,Metformin,Aspirin,250mg,Tablet,6073
8945,Aspirin,Metformin,650mg,Syrup,14784
8946,Ibuprofen,Ibuprofen,5ml,Capsule,488
8947,Cetirizine,Metformin,650mg,Injection,2546
8948,Metformin,Aspirin,5ml,Syrup,5322
8949,Aspirin,Aspirin,5ml,Capsule,2062
8950,Metformin,Ibuprofen,5ml,Tablet,3097
8951,Ibuprofen,Metformin,5ml,Tablet,7011
8952,Cetirizine,Ibuprofen,500mg,Tablet,3305
8953,Metformin,Amoxicillin,5ml,Syrup,19311
8954,Cetirizine,Amoxicillin,650mg,Syrup,13566
8955,Amoxicillin,Paracetamol,500mg,Injection,13592
8956,Amoxicillin,Paracetamol,250mg,Syrup,2657
8957,Metformin,Aspirin,650mg,Capsule,8267
8958,Paracetamol,Aspirin,500mg,Tablet,14557
8959,Ibuprofen,Aspirin,5ml,Syrup,1613
8960,Amoxicillin,Aspirin,650mg,Capsule,7483
8961,Metformin,Metformin,650mg,Capsule,17456
8962,Amoxicillin,Cetirizine,5ml,Injection,1785
8963,Ibuprofen,Cetirizine,500mg,Tablet,19159
8964,Paracetamol,Metformin,500mg,Tablet,5509
8965,Metformin,Aspirin,250mg,Injection,7921
8966,Ibuprofen,Amoxicillin,650mg,Syrup,2095
8967,Paracetamol,Amoxicillin,650mg,Capsule,6075
8968,Ibuprofen,Metformin,650mg,Syrup,1420
8969,Paracetamol,Paracetamol,650mg,Capsule,4467
8970,Paracetamol,Metformin,5ml,Capsule,9015
8971,Metformin,Ibuprofen,500mg,Tablet,18988
8972,Cetirizine,Metformin,250mg,Syrup,5033
8973,Metformin,Ibuprofen,5ml,Capsule,18669
8974,Metformin,Metformin,5ml,Tablet,15024
8975,Metformin,Amoxicillin,500mg,Tablet,19158
8976,Aspirin,Metformin,250mg,Tablet,1654
8977,Metformin,Paracetamol,250mg,Syrup,8659
8978,Paracetamol,Aspirin,250mg,Injection,13082
8979,Metformin,Ibuprofen,250mg,Capsule,17582
8980,Aspirin,Amoxicillin,5ml,Tablet,6334
8981,Aspirin,Ibuprofen,500mg,Capsule,9115
8982,Aspirin,Aspirin,250mg,Injection,15265
8983,Metformin,Paracetamol,5ml,Capsule,929
8984,Aspirin,Ibuprofen,5ml,Tablet,4029
8985,Metformin,Ibuprofen,5ml,Tablet,7175
8986,Amoxicillin,Aspirin,650mg,Syrup,3200
8987,Amoxicillin,Ibuprofen,250mg,Injection,3440
8988,Cetirizine,Ibuprofen,5ml,Tablet,16108
8989,Aspirin,Amoxicillin,650mg,Syrup,17443
8990,Aspirin,Metformin,5ml,Injection,4816
8991,Aspirin,Ibuprofen,5ml,Syrup,8899
8992,Paracetamol,Aspirin,500mg,Injection,13993
8993,Aspirin,Paracetamol,500mg,Syrup,11788
8994,Paracetamol,Cetirizine,5ml,Tablet,15383
8995,Cetirizine,Paracetamol,500mg,Capsule,8772
8996,Ibuprofen,Cetirizine,250mg,Syrup,3919
8997,Cetirizine,Paracetamol,5ml,Injection,4724
8998,Ibuprofen,Paracetamol,650mg,Tablet,17742
8999,Amoxicillin,Amoxicillin,5ml,Tablet,19673
9000,Cetirizine,Metformin,500mg,Capsule,18883
9001,Metformin,Aspirin,5ml,Tablet,10347
9002,Ibuprofen,Ibuprofen,500mg,Tablet,12838
9003,Paracetamol,Ibuprofen,250mg,Tablet,10618
9004,Amoxicillin,Cetirizine,250mg,Capsule,8648
9005,Cetirizine,Ibuprofen,250mg,Syrup,19698
9006,Cetirizine,Amoxicillin,250mg,Tablet,18724
9007,Paracetamol,Cetirizine,650mg,Syrup,19737
9008,Metformin,Ibuprofen,650mg,Capsule,6123
9009,Aspirin,Aspirin,500mg,Syrup,11459
9010,Paracetamol,Amoxicillin,250mg,Injection,7498
9011,Aspirin,Amoxicillin,500mg,Capsule,9472
9012,Cetirizine,Ibuprofen,650mg,Syrup,12818
9013,Paracetamol,Metformin,650mg,Syrup,14934
9014,Aspirin,Aspirin,250mg,Tablet,1846
9015,Metformin,Cetirizine,500mg,Syrup,19074
9016,Paracetamol,Amoxicillin,250mg,Syrup,5623
9017,Paracetamol,Ibuprofen,500mg,Tablet,10525
9018,Aspirin,Metformin,650mg,Capsule,1803
9019,Ibuprofen,Paracetamol,500mg,Injection,14227
9020,Paracetamol,Metformin,650mg,Syrup,14119
9021,Metformin,Ibuprofen,5ml,Capsule,17144
9022,Paracetamol,Ibuprofen,250mg,Syrup,1979
9023,Aspirin,Paracetamol,650mg,Injection,1819
9024,Aspirin,Metformin,500mg,Tablet,13221
9025,Ibuprofen,Cetirizine,650mg,Tablet,11684
9026,Ibuprofen,Amoxicillin,5ml,Injection,1051
9027,Ibuprofen,Aspirin,250mg,Syrup,17342
9028,Aspirin,Paracetamol,650mg,Syrup,6921
9029,Amoxicillin,Metformin,650mg,Injection,5167
9030,Ibuprofen,Aspirin,5ml,Syrup,13063
9031,Ibuprofen,Cetirizine,500mg,Tablet,13680
9032,Aspirin,Cetirizine,250mg,Injection,13860
9033,Metformin,Metformin,650mg,Tablet,10020
9034,Paracetamol,Amoxicillin,650mg,Tablet,8415
9035,Paracetamol,Cetirizine,500mg,Tablet,15893
9036,Aspirin,Amoxicillin,650mg,Syrup,9774
9037,Amoxicillin,Amoxicillin,650mg,Capsule,19081
9038,Metformin,Amoxicillin,5ml,Syrup,3675
9039,Amoxicillin,Cetirizine,500mg,Capsule,14848
9040,Paracetamol,Amoxicillin,250mg,Tablet,15769
9041,Ibuprofen,Ibuprofen,250mg,Capsule,5500
9042,Ibuprofen,Ibuprofen,500mg,Syrup,14379
9043,Aspirin,Metformin,500mg,Injection,4284
9044,Paracetamol,Aspirin,250mg,Injection,18539
9045,Aspirin,Paracetamol,5ml,Syrup,3192
9046,Ibuprofen,Paracetamol,250mg,Tablet,14749
9047,Metformin,Ibuprofen,250mg,Tablet,7359
9048,Paracetamol,Metformin,650mg,Tablet,19928
9049,Paracetamol,Cetirizine,650mg,Capsule,16039
9050,Amoxicillin,Amoxicillin,250mg,Syrup,9121
9051,Ibuprofen,Metformin,500mg,Injection,17866
9052,Paracetamol,Ibuprofen,500mg,Injection,2183
9053,Metformin,Paracetamol,500mg,Tablet,16897
9054,Amoxicillin,Amoxicillin,500mg,Tablet,19944
9055,Aspirin,Paracetamol,500mg,Tablet,5479
9056,Amoxicillin,Ibuprofen,5ml,Injection,14815
9057,Metformin,Metformin,500mg,Syrup,11902
9058,Ibuprofen,Paracetamol,5ml,Syrup,12501
9059,Aspirin,Cetirizine,5ml,Injection,6360
9060,Paracetamol,Aspirin,250mg,Tablet,3897
9061,Paracetamol,Metformin,5ml,Tablet,4525
9062,Aspirin,Ibuprofen,5ml,Injection,9331
9063,Paracetamol,Aspirin,5ml,Capsule,16334
9064,Amoxicillin,Metformin,500mg,Capsule,6493
9065,Aspirin,Paracetamol,250mg,Injection,19497
9066,Cetirizine,Cetirizine,5ml,Syrup,4070
9067,Aspirin,Amoxicillin,250mg,Tablet,3624
9068,Ibuprofen,Cetirizine,500mg,Injection,12672
9069,Aspirin,Aspirin,650mg,Tablet,14560
9070,Cetirizine,Ibuprofen,5ml,Syrup,14963
9071,Aspirin,Paracetamol,650mg,Capsule,17023
9072,Amoxicillin,Amoxicillin,250mg,Tablet,162
9073,Ibuprofen,Ibuprofen,250mg,Syrup,15045
9074,Cetirizine,Aspirin,5ml,Injection,5923
9075,Aspirin,Paracetamol,500mg,Capsule,2077
9076,Aspirin,Amoxicillin,650mg,Injection,12941
9077,Amoxicillin,Amoxicillin,250mg,Capsule,10968
9078,Aspirin,Ibuprofen,650mg,Injection,17334
9079,Metformin,Ibuprofen,500mg,Capsule,1748
9080,Amoxicillin,Amoxicillin,500mg,Injection,693
9081,Ibuprofen,Ibuprofen,5ml,Syrup,19189
9082,Paracetamol,Amoxicillin,650mg,Capsule,15203
9083,Amoxicillin,Metformin,5ml,Injection,13306
9084,Ibuprofen,Aspirin,250mg,Tablet,15556
9085,Ibuprofen,Cetirizine,650mg,Tablet,16953
9086,Amoxicillin,Amoxicillin,650mg,Capsule,7517
9087,Ibuprofen,Cetirizine,500mg,Capsule,8309
9088,Paracetamol,Cetirizine,5ml,Tablet,10673
9089,Ibuprofen,Ibuprofen,650mg,Injection,19182
9090,Ibuprofen,Cetirizine,250mg,Capsule,2125
9091,Amoxicillin,Aspirin,500mg,Capsule,10284
9092,Aspirin,Paracetamol,250mg,Tablet,11595
9093,Paracetamol,Amoxicillin,500mg,Tablet,5340
9094,Cetirizine,Paracetamol,250mg,Capsule,18311
9095,Cetirizine,Metformin,650mg,Injection,10925
9096,Amoxicillin,Cetirizine,5ml,Injection,15532
9097,Aspirin,Paracetamol,5ml,Injection,10193
9098,Cetirizine,Cetirizine,5ml,Injection,17215
9099,Amoxicillin,Cetirizine,250mg,Capsule,14507
9100,Metformin,Aspirin,5ml,Syrup,19943
9101,Paracetamol,Ibuprofen,5ml,Capsule,13848
9102,Ibuprofen,Amoxicillin,5ml,Tablet,9246
9103,Ibuprofen,Aspirin,500mg,Syrup,10115
9104,Ibuprofen,Metformin,5ml,Tablet,6633
9105,Metformin,Cetirizine,5ml,Injection,15138
9106,Cetirizine,Paracetamol,500mg,Injection,3497
9107,Paracetamol,Metformin,5ml,Injection,4302
9108,Cetirizine,Paracetamol,500mg,Capsule,14645
9109,Aspirin,Ibuprofen,650mg,Capsule,1491
9110,Ibuprofen,Metformin,250mg,Tablet,13697
9111,Ibuprofen,Paracetamol,500mg,Capsule,2344
9112,Amoxicillin,Aspirin,250mg,Syrup,5143
9113,Ibuprofen,Aspirin,650mg,Injection,7013
9114,Ibuprofen,Aspirin,250mg,Syrup,13532
9115,Amoxicillin,Aspirin,250mg,Syrup,2964
9116,Amoxicillin,Ibuprofen,500mg,Tablet,16790
9117,Metformin,Metformin,5ml,Injection,11494
9118,Aspirin,Cetirizine,5ml,Capsule,12198
9119,Ibuprofen,Amoxicillin,5ml,Tablet,12396
9120,Aspirin,Aspirin,250mg,Syrup,3001
9121,Ibuprofen,Paracetamol,650mg,Injection,13434
9122,Paracetamol,Cetirizine,500mg,Syrup,12556
9123,Aspirin,Amoxicillin,500mg,Injection,12693
9124,Aspirin,Ibuprofen,250mg,Tablet,9636
9125,Ibuprofen,Cetirizine,650mg,Capsule,15247
9126,Aspirin,Metformin,5ml,Syrup,9516
9127,Metformin,Amoxicillin,650mg,Syrup,9798
9128,Cetirizine,Paracetamol,250mg,Capsule,17798
9129,Metformin,Amoxicillin,500mg,Capsule,10792
9130,Aspirin,Aspirin,5ml,Tablet,8197
9131,Metformin,Ibuprofen,5ml,Syrup,17003
9132,Cetirizine,Ibuprofen,650mg,Tablet,6220
9133,Metformin,Cetirizine,250mg,Injection,10377
9134,Metformin,Paracetamol,5ml,Tablet,19456
9135,Metformin,Cetirizine,250mg,Injection,18216
9136,Aspirin,Metformin,250mg,Injection,5728
9137,Aspirin,Paracetamol,500mg,Injection,14110
9138,Metformin,Aspirin,5ml,Capsule,14592
9139,Cetirizine,Paracetamol,500mg,Tablet,4649
9140,Aspirin,Aspirin,5ml,Capsule,2394
9141,Cetirizine,Cetirizine,250mg,Syrup,5991
9142,Cetirizine,Aspirin,650mg,Injection,15315
9143,Aspirin,Aspirin,5ml,Capsule,2562
9144,Cetirizine,Cetirizine,250mg,Capsule,4766
9145,Cetirizine,Metformin,5ml,Syrup,18371
9146,Metformin,Metformin,250mg,Capsule,16108
9147,Metformin,Paracetamol,650mg,Capsule,6034
9148,Ibuprofen,Cetirizine,5ml,Syrup,1166
9149,Amoxicillin,Metformin,500mg,Capsule,4690
9150,Ibuprofen,Amoxicillin,650mg,Syrup,14958
9151,Paracetamol,Ibuprofen,500mg,Syrup,536
9152,Paracetamol,Paracetamol,650mg,Injection,19775
9153,Aspirin,Amoxicillin,650mg,Capsule,16700
9154,Ibuprofen,Cetirizine,5ml,Capsule,11783
9155,Cetirizine,Aspirin,250mg,Tablet,15600
9156,Metformin,Metformin,5ml,Injection,14207
9157,Aspirin,Metformin,250mg,Syrup,3805
9158,Cetirizine,Ibuprofen,250mg,Tablet,5332
9159,Cetirizine,Paracetamol,250mg,Tablet,705
9160,Amoxicillin,Metformin,650mg,Tablet,16612
9161,Amoxicillin,Ibuprofen,650mg,Tablet,13999
9162,Paracetamol,Cetirizine,5ml,Injection,9616
9163,Aspirin,Metformin,650mg,Syrup,5331
9164,Metformin,Ibuprofen,650mg,Capsule,3164
9165,Metformin,Metformin,650mg,Syrup,181
9166,Ibuprofen,Ibuprofen,500mg,Syrup,10130
9167,Ibuprofen,Ibuprofen,500mg,Tablet,4337
9168,Ibuprofen,Amoxicillin,5ml,Syrup,15067
9169,Metformin,Ibuprofen,500mg,Capsule,11258
9170,Paracetamol,Paracetamol,5ml,Syrup,8786
9171,Aspirin,Paracetamol,650mg,Tablet,14070
9172,Metformin,Metformin,650mg,Capsule,11290
9173,Paracetamol,Cetirizine,5ml,Tablet,7201
9174,Metformin,Metformin,650mg,Tablet,2716
9175,Aspirin,Aspirin,650mg,Injection,18630
9176,Aspirin,Paracetamol,250mg,Syrup,14055
9177,Paracetamol,Ibuprofen,500mg,Injection,16542
9178,Metformin,Cetirizine,250mg,Tablet,10353
9179,Cetirizine,Cetirizine,500mg,Syrup,672
9180,Metformin,Paracetamol,500mg,Tablet,11725
9181,Amoxicillin,Aspirin,5ml,Injection,4195
9182,Amoxicillin,Amoxicillin,650mg,Syrup,2674
9183,Cetirizine,Aspirin,250mg,Capsule,8817
9184,Aspirin,Ibuprofen,5ml,Injection,17888
9185,Cetirizine,Aspirin,250mg,Injection,19749
9186,Paracetamol,Aspirin,500mg,Injection,17512
9187,Cetirizine,Amoxicillin,500mg,Capsule,15316
9188,Amoxicillin,Ibuprofen,650mg,Injection,5673
9189,Paracetamol,Aspirin,500mg,Injection,8991
9190,Paracetamol,Paracetamol,500mg,Injection,15823
9191,Amoxicillin,Aspirin,500mg,Tablet,3929
9192,Aspirin,Cetirizine,500mg,Syrup,13109
9193,Cetirizine,Amoxicillin,250mg,Capsule,11692
9194,Amoxicillin,Ibuprofen,500mg,Injection,11212
9195,Paracetamol,Amoxicillin,5ml,Syrup,3040
9196,Ibuprofen,Amoxicillin,250mg,Syrup,6283
9197,Ibuprofen,Metformin,5ml,Injection,7897
9198,Aspirin,Aspirin,5ml,Capsule,19289
9199,Aspirin,Metformin,250mg,Syrup,4361
9200,Aspirin,Cetirizine,250mg,Injection,5649
9201,Amoxicillin,Paracetamol,250mg,Capsule,10732
9202,Amoxicillin,Ibuprofen,500mg,Injection,5448
9203,Ibuprofen,Cetirizine,650mg,Capsule,319
9204,Ibuprofen,Ibuprofen,650mg,Capsule,6666
9205,Cetirizine,Aspirin,5ml,Injection,2900
9206,Ibuprofen,Aspirin,5ml,Syrup,17961
9207,Paracetamol,Ibuprofen,5ml,Capsule,14153
9208,Ibuprofen,Cetirizine,250mg,Injection,5990
9209,Amoxicillin,Metformin,650mg,Syrup,16348
9210,Ibuprofen,Metformin,500mg,Syrup,2252
9211,Amoxicillin,Amoxicillin,650mg,Syrup,614
9212,Cetirizine,Aspirin,650mg,Injection,19303
9213,Cetirizine,Cetirizine,5ml,Tablet,18606
9214,Aspirin,Cetirizine,5ml,Injection,4043
9215,Metformin,Cetirizine,500mg,Syrup,30
9216,Cetirizine,Paracetamol,5ml,Injection,16103
9217,Ibuprofen,Aspirin,650mg,Injection,11952
9218,Aspirin,Paracetamol,500mg,Injection,12994
9219,Cetirizine,Paracetamol,5ml,Capsule,4896
9220,Cetirizine,Metformin,500mg,Tablet,11064
9221,Amoxicillin,Metformin,500mg,Injection,5914
9222,Cetirizine,Aspirin,500mg,Syrup,925
9223,Aspirin,Cetirizine,250mg,Tablet,8714
9224,Metformin,Ibuprofen,5ml,Injection,13506
9225,Ibuprofen,Amoxicillin,500mg,Injection,14394
9226,Metformin,Ibuprofen,5ml,Syrup,13366
9227,Cetirizine,Aspirin,650mg,Capsule,7538
9228,Metformin,Metformin,5ml,Syrup,1671
9229,Aspirin,Metformin,250mg,Syrup,14501
9230,Cetirizine,Amoxicillin,250mg,Tablet,149
9231,Paracetamol,Paracetamol,250mg,Syrup,424
9232,Aspirin,Metformin,500mg,Capsule,13440
9233,Amoxicillin,Paracetamol,650mg,Tablet,6832
9234,Metformin,Ibuprofen,650mg,Injection,16402
9235,Metformin,Ibuprofen,500mg,Injection,15383
9236,Amoxicillin,Ibuprofen,500mg,Injection,3576
9237,Amoxicillin,Amoxicillin,500mg,Syrup,19567
9238,Amoxicillin,Amoxicillin,250mg,Tablet,2676
9239,Amoxicillin,Ibuprofen,650mg,Capsule,833
9240,Metformin,Paracetamol,500mg,Tablet,15198
9241,Metformin,Metformin,250mg,Tablet,3621
9242,Ibuprofen,Metformin,650mg,Syrup,7836
9243,Aspirin,Ibuprofen,650mg,Syrup,4982
9244,Amoxicillin,Paracetamol,500mg,Syrup,17356
9245,Ibuprofen,Cetirizine,250mg,Capsule,6889
9246,Amoxicillin,Paracetamol,650mg,Syrup,15171
9247,Ibuprofen,Ibuprofen,250mg,Capsule,16992
9248,Amoxicillin,Aspirin,5ml,Syrup,6784
9249,Amoxicillin,Paracetamol,650mg,Injection,5371
9250,Ibuprofen,Paracetamol,650mg,Injection,10837
9251,Cetirizine,Metformin,500mg,Syrup,3126
9252,Cetirizine,Cetirizine,250mg,Tablet,2922
9253,Paracetamol,Amoxicillin,250mg,Capsule,3354
9254,Amoxicillin,Ibuprofen,500mg,Tablet,18123
9255,Metformin,Metformin,500mg,Tablet,15339
9256,Ibuprofen,Aspirin,500mg,Capsule,12345
9257,Paracetamol,Ibuprofen,250mg,Tablet,13775
9258,Aspirin,Metformin,5ml,Capsule,11179
9259,Amoxicillin,Ibuprofen,650mg,Tablet,12848
9260,Cetirizine,Cetirizine,5ml,Capsule,7720
9261,Ibuprofen,Amoxicillin,650mg,Injection,6578
9262,Cetirizine,Amoxicillin,5ml,Injection,471
9263,Ibuprofen,Cetirizine,500mg,Capsule,5484
9264,Metformin,Ibuprofen,5ml,Capsule,5003
9265,Amoxicillin,Cetirizine,5ml,Injection,9060
9266,Amoxicillin,Aspirin,500mg,Capsule,244
9267,Aspirin,Amoxicillin,250mg,Syrup,3548
9268,Metformin,Metformin,500mg,Syrup,14928
9269,Amoxicillin,Amoxicillin,500mg,Tablet,8467
9270,Ibuprofen,Aspirin,650mg,Syrup,4410
9271,Aspirin,Metformin,250mg,Tablet,6826
9272,Amoxicillin,Cetirizine,5ml,Tablet,4594
9273,Paracetamol,Paracetamol,500mg,Injection,723
9274,Ibuprofen,Paracetamol,250mg,Syrup,19798
9275,Paracetamol,Cetirizine,500mg,Capsule,15686
9276,Ibuprofen,Paracetamol,500mg,Capsule,1071
9277,Cetirizine,Paracetamol,650mg,Capsule,19839
9278,Ibuprofen,Paracetamol,5ml,Injection,2639
9279,Aspirin,Metformin,650mg,Syrup,19004
9280,Metformin,Cetirizine,500mg,Tablet,16859
9281,Aspirin,Paracetamol,5ml,Injection,1868
9282,Metformin,Amoxicillin,650mg,Capsule,6927
9283,Metformin,Paracetamol,5ml,Tablet,12937
9284,Ibuprofen,Metformin,5ml,Injection,2349
9285,Ibuprofen,Paracetamol,650mg,Capsule,2975
9286,Aspirin,Cetirizine,650mg,Syrup,1784
9287,Metformin,Amoxicillin,5ml,Syrup,18743
9288,Aspirin,Cetirizine,250mg,Tablet,12315
9289,Amoxicillin,Ibuprofen,650mg,Syrup,13382
9290,Aspirin,Paracetamol,500mg,Injection,17478
9291,Paracetamol,Ibuprofen,650mg,Tablet,2672
9292,Metformin,Ibuprofen,500mg,Capsule,3705
9293,Ibuprofen,Ibuprofen,250mg,Syrup,19304
9294,Paracetamol,Aspirin,650mg,Syrup,18217
9295,Metformin,Amoxicillin,250mg,Capsule,15993
9296,Ibuprofen,Metformin,650mg,Injection,15182
9297,Aspirin,Ibuprofen,250mg,Tablet,15146
9298,Aspirin,Ibuprofen,250mg,Injection,9547
9299,Ibuprofen,Amoxicillin,250mg,Syrup,3885
9300,Cetirizine,Aspirin,650mg,Injection,4519
9301,Cetirizine,Cetirizine,5ml,Injection,6072
9302,Cetirizine,Metformin,250mg,Syrup,8277
9303,Amoxicillin,Ibuprofen,250mg,Injection,6296
9304,Ibuprofen,Ibuprofen,5ml,Syrup,3231
9305,Metformin,Metformin,500mg,Injection,11144
9306,Paracetamol,Cetirizine,500mg,Capsule,12048
9307,Paracetamol,Ibuprofen,250mg,Tablet,5021
9308,Aspirin,Ibuprofen,500mg,Syrup,12069
9309,Aspirin,Aspirin,5ml,Injection,6826
9310,Metformin,Paracetamol,250mg,Syrup,14538
9311,Paracetamol,Metformin,5ml,Capsule,9880
9312,Ibuprofen,Aspirin,650mg,Capsule,6479
9313,Cetirizine,Cetirizine,650mg,Capsule,2023
9314,Cetirizine,Cetirizine,5ml,Capsule,7857
9315,Cetirizine,Metformin,250mg,Injection,618
9316,Metformin,Cetirizine,500mg,Tablet,9928
9317,Aspirin,Metformin,500mg,Syrup,18943
9318,Paracetamol,Ibuprofen,650mg,Tablet,9784
9319,Ibuprofen,Metformin,500mg,Syrup,2190
9320,Aspirin,Amoxicillin,250mg,Syrup,4230
9321,Ibuprofen,Cetirizine,500mg,Injection,14676
9322,Aspirin,Metformin,650mg,Tablet,19528
9323,Paracetamol,Amoxicillin,650mg,Injection,13815
9324,Aspirin,Cetirizine,250mg,Injection,8125
9325,Amoxicillin,Metformin,5ml,Capsule,10538
9326,Ibuprofen,Ibuprofen,500mg,Capsule,9387
9327,Aspirin,Amoxicillin,650mg,Capsule,14549
9328,Amoxicillin,Ibuprofen,5ml,Capsule,19015
9329,Aspirin,Metformin,250mg,Tablet,4315
9330,Ibuprofen,Paracetamol,5ml,Syrup,6812
9331,Metformin,Metformin,5ml,Tablet,11842
9332,Cetirizine,Cetirizine,5ml,Injection,8341
9333,Ibuprofen,Ibuprofen,500mg,Capsule,5699
9334,Metformin,Amoxicillin,650mg,Syrup,13038
9335,Amoxicillin,Ibuprofen,500mg,Tablet,18886
9336,Cetirizine,Metformin,250mg,Injection,8482
9337,Aspirin,Aspirin,250mg,Capsule,3120
9338,Amoxicillin,Aspirin,650mg,Tablet,13363
9339,Paracetamol,Metformin,650mg,Syrup,19572
9340,Paracetamol,Paracetamol,250mg,Tablet,4949
9341,Aspirin,Metformin,250mg,Injection,6319
9342,Amoxicillin,Paracetamol,500mg,Tablet,10314
9343,Aspirin,Metformin,5ml,Capsule,15547
9344,Paracetamol,Ibuprofen,250mg,Tablet,11255
9345,Aspirin,Paracetamol,250mg,Syrup,19158
9346,Amoxicillin,Aspirin,500mg,Capsule,3597
9347,Aspirin,Metformin,5ml,Capsule,14034
9348,Cetirizine,Ibuprofen,650mg,Syrup,14106
9349,Aspirin,Cetirizine,5ml,Tablet,5578
9350,Paracetamol,Ibuprofen,5ml,Tablet,10657
9351,Paracetamol,Amoxicillin,5ml,Capsule,17249
9352,Paracetamol,Cetirizine,5ml,Tablet,7675
9353,Aspirin,Paracetamol,250mg,Injection,14811
9354,Aspirin,Metformin,500mg,Syrup,8859
9355,Metformin,Ibuprofen,250mg,Capsule,6718
9356,Cetirizine,Metformin,650mg,Capsule,597
9357,Amoxicillin,Ibuprofen,250mg,Tablet,14457
9358,Amoxicillin,Metformin,5ml,Syrup,1366
9359,Amoxicillin,Aspirin,500mg,Syrup,13703
9360,Paracetamol,Paracetamol,250mg,Capsule,2401
9361,Paracetamol,Cetirizine,650mg,Capsule,9913
9362,Amoxicillin,Aspirin,5ml,Capsule,885
9363,Amoxicillin,Ibuprofen,650mg,Capsule,10697
9364,Aspirin,Aspirin,5ml,Capsule,14172
9365,Metformin,Aspirin,500mg,Tablet,1281
9366,Amoxicillin,Cetirizine,500mg,Tablet,5311
9367,Paracetamol,Cetirizine,500mg,Injection,10193
9368,Amoxicillin,Cetirizine,250mg,Injection,12524
9369,Cetirizine,Aspirin,650mg,Tablet,4460
9370,Cetirizine,Ibuprofen,5ml,Injection,6969
